geoid10,Sum_acres_res,Sum_acres_sf8_7,prct_sf,CNTY,TRACT,BG,Total_pop,White_non_Hisp,Black_non_Hisp,AIAN_non_Hisp,API_non_Hisp,Other_2_non_Hisp,Hispanic_or_Latino,Total_Minority,pWhite_non_Hisp,pBlack_non_Hisp,pAIAN_non_Hisp,pAPI_non_Hisp,pOther_2__non_Hisp,pHispanic_or_Latino,pTotal_Minority,White__Black,White_AIAN,White__API,White__Other_2_,White__Hispanic,White__Minority,Black__AIAN,Black__API,Black__Other_2_,Black__Hispanic,AIAN__Asian,AIAN__Other_2_,AIAN__Hispanic,API__Other_2_,API__Hispanic,Other_2___Hispanic
5.3033E+11,122.0168703,108.3130135,0.887688836,33,1200,1,1256,833,16,0,155,173,79,423,0.0003,0.0001,0,0.0003,0.0007,0.0002,0.0003,2.4289,3.1389,0.4289,-3.8423,1.2108,0.2874,0.7101,-2,-6.2712,-1.2181,-2.71,-6.9813,-1.9282,-4.2712,0.7819,5.0531
5.3033E+11,60.69618303,43.19630976,0.711680827,33,1200,2,1103,389,433,14,67,41,159,714,0.0001,0.0019,0.0005,0.0001,0.0002,0.0004,0.0005,-17.7506,-3.4229,0.2944,-0.1887,-2.4149,-3.3473,14.3277,18.045,17.5619,15.3357,3.7173,3.2343,1.008,-0.4831,-2.7093,-2.2262
5.3033E+11,61.0208564,12.45493865,0.204109535,33,1200,3,1991,1447,46,15,412,37,34,544,0.0005,0.0002,0.0005,0.0007,0.0001,0.0001,0.0004,3.4111,0.2146,-1.7509,3.9595,4.6228,1.7854,-3.1965,-5.162,0.5484,1.2116,-1.9655,3.7449,4.4081,5.7104,6.3736,0.6633
5.3033E+11,120.6004534,6.21565382,0.051539224,33,1200,4,1369,740,180,0,293,49,107,629,0.0003,0.0008,0,0.0005,0.0002,0.0003,0.0004,-5.1999,2.7885,-2.3344,0.8111,0.1769,-1.4517,7.9884,2.8655,6.011,5.3768,-5.1229,-1.9774,-2.6116,3.1455,2.5113,-0.6342
5.3033E+11,88.83985255,14.07700828,0.158453756,33,1200,5,1265,781,21,0,129,181,153,484,0.0003,0.0001,0,0.0002,0.0007,0.0004,0.0003,2.011,2.943,0.6875,-4.3611,-0.7913,-0.3197,0.932,-1.3235,-6.3721,-2.8023,-2.2555,-7.3041,-3.7343,-5.0486,-1.4788,3.5698
5.3033E+11,124.9306278,100.8090631,0.806920327,33,1300,1,1802,861,103,0,488,102,248,941,0.0003,0.0005,0,0.0009,0.0004,0.0006,0.0006,-1.3267,3.2444,-5.2878,-0.8717,-2.8086,-3.099,4.5711,-3.9612,0.455,-1.4819,-8.5323,-4.1161,-6.053,4.4162,2.4793,-1.9369
5.3033E+11,60.57047545,31.20655066,0.515210594,33,1300,2,1282,482,61,124,206,64,345,800,0.0002,0.0003,0.0043,0.0004,0.0003,0.0008,0.0005,-0.8909,-41.4843,-1.7855,-0.7664,-6.6042,-3.5766,-40.5935,-0.8946,0.1245,-5.7133,39.6989,40.718,34.8801,1.0191,-4.8187,-5.8378
5.3033E+11,107.0513813,36.79532289,0.34371647,33,1300,3,1614,1090,100,0,200,92,132,524,0.0004,0.0004,0,0.0003,0.0004,0.0003,0.0004,-0.3306,4.1074,0.6105,0.3948,0.8856,0.575,4.438,0.9411,0.7254,1.2162,-3.4968,-3.7126,-3.2218,-0.2157,0.2751,0.4908
5.3033E+11,79.7900986,69.73883103,0.874028636,33,1400,1,1139,652,13,0,203,227,44,487,0.0002,0.0001,0,0.0004,0.0009,0.0001,0.0003,1.8799,2.4569,-1.0924,-6.7035,1.383,-0.826,0.5769,-2.9723,-8.5835,-0.497,-3.5493,-9.1604,-1.0739,-5.6111,2.4754,8.0865
5.3033E+11,127.8186737,114.2794862,0.894075043,33,1400,2,1589,1389,0,6,82,79,33,200,0.0005,0,0.0002,0.0001,0.0003,0.0001,0.0001,5.2341,3.1389,3.8004,2.0461,4.4286,3.8858,-2.0952,-1.4337,-3.188,-0.8054,0.6615,-1.0928,1.2898,-1.7543,0.6283,2.3825
